State,Latitude,Longitude
Telangana,17.123184,79.208824
Madhya Pradesh,23.473324,77.947998
Haryana,29.238478,76.431885
Chhattisgarh,21.295132,81.828232
Haryana,29.065773,76.040497
Maharashtra,19.601194,75.552979
Tripura,23.745127,91.746826
Karnataka,15.317277,75.713890
Kerala,10.850516,76.271080
Uttar Pradesh,28.207609,79.826660
Assam,26.244156,92.537842
Tamil Nadu,11.127123,78.656891
Karnataka,15.317277,75.713890
West Bengal,22.978624,87.747803
Gujarat,22.309425,72.136230
Odisha,20.940920,84.803467
Rajasthan,27.391277,73.432617
Himachal Pradesh,32.084206,77.571167
Delhi,28.7041,77.1025
